Latitude,Longitude,Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Expected Monthly,Total Services,Security Score,Entertainment Score
37.424655,-121.74841,Yes,No,No,47,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.05,3865.6,82.2468085106383,1,0,1
36.799648,-119.801247,Yes,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.75,7932.5,110.17361111111111,5,3,2
32.825086,-117.199424,No,Yes,No,26,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.9,2078.55,79.94423076923077,5,3,2
34.026334,-118.474222,Yes,Yes,No,70,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.65,7714.65,110.20928571428571,6,4,2
33.713891,-116.237257,No,No,Yes,43,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.95,2737.05,63.65232558139535,3,2,1
36.689582,-121.758398,No,Yes,No,69,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,26.3,1763.55,25.558695652173913,0,0,0
38.055562,-120.456298,No,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.0,8093.15,112.4048611111111,6,4,2
35.059695,-120.604741,No,Yes,Yes,60,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.75,5969.95,99.49916666666667,4,2,2
34.19829,-118.602203,No,No,No,13,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,886.7,68.20769230769231,0,0,0
37.572273,-121.964583,No,No,No,67,No,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),65.55,4361.55,65.09776119402986,3,2,1
37.287758,-119.548156,No,Yes,Yes,12,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.5,255.5,21.291666666666668,0,0,0
34.156758,-117.404686,No,No,No,3,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.4,137.25,45.75,0,0,0
35.453912,-120.69461,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.35,45.35,45.35,0,0,0
38.852544,-120.837669,No,Yes,No,45,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.35,3858.05,85.73444444444445,6,4,2
41.082472,-121.195215,No,Yes,Yes,31,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,54.35,1647.0,53.12903225806452,2,2,0
33.674583,-114.71612,No,No,No,7,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.45,165.35,23.62142857142857,0,0,0
39.191797,-120.212401,No,Yes,Yes,33,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.1,579.4,17.55757575757576,0,0,0
38.161321,-122.271588,No,Yes,Yes,40,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.1,4469.1,111.7275,5,3,2
35.603913,-117.67828,No,Yes,No,33,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8,3036.75,92.02272727272727,3,1,2
33.761894,-117.120868,No,Yes,Yes,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.35,44.35,44.35,0,0,0
39.745805,-120.580882,No,Yes,Yes,71,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.1,1389.6,19.57183098591549,0,0,0
34.005439,-118.477507,No,No,No,3,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),53.4,188.7,62.9,1,0,1
32.673483,-116.472863,No,No,No,27,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.55,2724.6,100.91111111111111,2,0,2
33.254497,-117.285879,No,No,No,61,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,115.1,6993.65,114.64999999999999,6,4,2
34.110124,-119.100972,No,No,No,48,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.95,1004.5,20.927083333333332,0,0,0
37.524721,-120.757977,No,No,No,41,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.0,810.3,19.76341463414634,0,0,0
41.266008,-120.490731,No,Yes,No,9,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,655.9,72.87777777777778,1,1,0
33.748635,-117.906125,No,No,No,11,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),40.4,422.6,38.41818181818182,3,3,0
37.946282,-121.139499,No,No,No,3,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25,170.5,56.833333333333336,1,0,1
34.186211,-117.07683,Yes,Yes,No,66,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),79.4,5154.6,78.10000000000001,5,4,1
32.695681,-116.798386,No,No,No,69,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.7,7220.35,104.64275362318841,4,2,2
38.606703,-120.586659,No,Yes,No,38,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,110.7,4428.6,116.54210526315791,5,3,2
38.358464,-120.579304,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,69.85,69.85,0,0,0
36.460611,-121.852507,No,Yes,Yes,48,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),111.8,5443.65,113.409375,6,4,2
38.060264,-122.830646,No,Yes,No,19,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.9,839.65,44.19210526315789,0,0,0
39.19514,-121.503883,No,Yes,Yes,16,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.35,275.9,17.24375,0,0,0
39.873371,-123.741474,No,No,No,18,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,60.6,1156.35,64.24166666666666,2,2,0
37.674002,-122.076796,No,Yes,Yes,25,No,No,No,No,No,No,No,No,One year,No,Electronic check,19.9,505.45,20.218,0,0,0
38.602723,-121.279913,No,Yes,Yes,55,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,79.4,4238.45,77.06272727272727,2,2,0
34.757477,-120.550507,No,No,No,3,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,47.166666666666664,0,0,0
37.716186,-121.025836,Yes,No,No,8,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.25,585.95,73.24375,1,1,0
38.105733,-122.186338,No,No,No,39,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,59.3,2209.15,56.6448717948718,2,1,1
33.323705,-116.626907,No,No,No,5,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,117.95,23.59,0,0,0
39.564113,-120.868836,No,No,No,61,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,118.6,7365.7,120.74918032786886,6,4,2
41.280341,-120.150381,No,No,No,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.75,35.75,35.75,1,0,1
38.93706,-123.118111,No,No,No,4,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.25,101.9,25.475,0,0,0
37.731505,-122.384532,No,Yes,No,63,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),79.7,4786.15,75.97063492063492,4,2,2
34.195685,-118.490752,No,No,No,12,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),24.95,280.4,23.366666666666664,0,0,0
33.054579,-117.25665,No,Yes,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.15,216.75,72.25,0,0,0
34.122671,-118.112911,No,Yes,Yes,15,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,103.95,4,2,2
32.774046,-117.142454,No,No,Yes,50,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),43.05,2208.05,44.161,3,2,1
39.361283,-123.784599,No,Yes,No,42,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.25,3959.35,94.2702380952381,3,2,1
41.572813,-124.035011,No,Yes,No,10,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,18.775,0,0,0
34.067699,-116.903891,No,Yes,No,55,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),59.45,3157.0,57.4,2,1,1
33.841027,-118.078097,No,No,No,23,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,77.32608695652173,1,1,0
34.061634,-117.893169,No,Yes,No,9,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),69.05,653.95,72.66111111111111,3,2,1
33.548869,-117.334165,Yes,Yes,No,59,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,94.05,5483.9,92.94745762711864,4,4,0
38.848082,-123.50608,No,Yes,No,72,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,85.1,6155.4,85.49166666666666,6,4,2
33.879983,-117.895482,No,No,No,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,95.85,95.85,3,1,2
33.720359,-117.733655,No,Yes,Yes,24,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),21.1,490.65,20.443749999999998,0,0,0
38.830739,-122.196202,No,Yes,Yes,58,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.8,3970.4,68.45517241379311,2,1,1
35.652242,-119.4464,No,Yes,No,31,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,2344.5,75.62903225806451,4,3,1
34.191842,-118.822796,No,Yes,No,16,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.6,314.45,19.653125,0,0,0
35.666886,-119.186717,No,Yes,No,37,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,79.25,2911.8,78.6972972972973,4,2,2
37.671806,-121.007575,No,Yes,No,17,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,1149.65,67.62647058823529,0,0,0
37.991259,-122.214945,No,Yes,No,49,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,96.59387755102041,3,2,1
38.486938,-121.395805,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.15,98.5,49.25,0,0,0
33.823943,-118.111335,Yes,No,No,47,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,85.5,4042.3,86.00638297872341,2,1,1
40.053684,-120.743116,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.5,69.5,69.5,0,0,0
32.741852,-117.243453,No,Yes,No,56,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,89.7,4952.95,88.44553571428571,2,0,2
34.486835,-117.362274,No,Yes,Yes,46,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),90.95,4236.6,92.10000000000001,3,2,1
38.672638,-121.147403,No,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.7,6339.3,88.04583333333333,6,4,2
38.672638,-121.147403,No,No,No,43,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,100.0,4211.55,97.94302325581396,3,1,2
35.214982,-118.59049,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.5,70.5,70.5,0,0,0
40.059385,-122.091481,Yes,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.65,8022.85,111.42847222222223,5,3,2
40.587919,-122.464732,Yes,No,No,12,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),29.35,381.2,31.766666666666666,1,1,0
41.33832,-122.290756,Yes,Yes,No,68,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,41.95,2965.75,43.6139705882353,3,3,0
34.003243,-117.138286,Yes,No,No,41,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.4,4187.75,102.14024390243902,3,1,2
38.549185,-121.328386,No,Yes,Yes,58,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.55,5511.65,95.02844827586206,3,2,1
38.049292,-122.228415,No,No,Yes,39,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),30.1,1131.3,29.007692307692306,1,1,0
32.619465,-116.593605,No,No,No,48,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),78.75,3682.45,76.71770833333333,4,2,2
38.014457,-122.115432,No,Yes,Yes,25,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.4,546.85,21.874000000000002,0,0,0
34.231318,-117.662032,No,Yes,Yes,16,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.5,290.55,18.159375,0,0,0
37.393554,-121.965114,No,No,No,24,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.55,2187.15,91.13125000000001,3,2,1
35.996008,-120.85305,No,No,No,43,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),90.65,3882.3,90.28604651162792,4,4,0
38.888351,-123.239647,No,No,No,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,35.05,35.05,35.05,1,0,1
41.162295,-124.027381,No,No,No,3,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),54.7,169.45,56.48333333333333,1,0,1
36.995162,-120.955099,No,No,No,3,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,229.7,76.56666666666666,0,0,0
33.797638,-118.11662,No,Yes,No,57,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.7,3171.6,55.642105263157895,2,2,0
34.291273,-118.505104,Yes,Yes,No,57,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),94.0,5438.95,95.42017543859649,3,2,1
34.567058,-117.362329,No,No,Yes,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.5,54.5,54.5,2,2,0
32.774046,-117.142454,No,No,No,9,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,416.45,46.27222222222222,0,0,0
34.066367,-118.309868,Yes,Yes,No,6,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.75,573.75,95.625,3,1,2
34.122501,-117.320138,No,Yes,Yes,63,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.8,6597.25,104.71825396825396,4,2,2
37.834341,-122.26437,Yes,No,No,14,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,1058.1,75.57857142857142,1,1,0
33.054579,-117.25665,No,No,Yes,23,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1284.2,55.834782608695654,2,2,0
37.285677,-122.224165,No,Yes,No,71,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),24.45,1681.6,23.68450704225352,0,0,0
38.759751,-121.288545,No,Yes,Yes,43,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.55,4039.0,93.93023255813954,2,1,1
37.34667,-121.910019,Yes,No,No,17,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.15,1496.9,88.0529411764706,3,2,1
41.599978,-122.539381,No,Yes,Yes,15,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.3,639.45,42.63,0,0,0
33.897253,-117.792202,No,No,No,35,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,55.25,1924.1,54.97428571428571,1,1,0
37.671806,-121.007575,No,Yes,No,31,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,3243.45,104.62741935483871,4,2,2
33.345825,-115.596574,No,Yes,No,71,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.35,6325.25,89.08802816901408,6,4,2
33.948558,-116.516976,No,No,No,34,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,74.24852941176471,1,1,0
40.617614,-122.512861,No,No,No,15,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.65,994.55,66.30333333333333,2,1,1
35.116307,-118.817644,No,Yes,Yes,68,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.4,1620.2,23.826470588235296,0,0,0
33.738543,-117.785046,No,Yes,Yes,26,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.0,2083.1,80.11923076923077,4,2,2
36.687292,-120.437354,No,No,Yes,1,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.45,70.45,70.45,4,3,1
37.444314,-122.149996,Yes,No,No,57,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),69.85,4003.0,70.2280701754386,4,3,1
36.452211,-119.94575,No,No,No,39,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,95.55,3692.85,94.68846153846154,4,3,1
33.786738,-117.982564,No,Yes,No,46,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,24.9,1174.8,25.539130434782606,0,0,0
37.834341,-122.26437,No,No,No,64,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.4,6692.65,104.57265625,4,2,2
33.940884,-118.128628,No,Yes,No,3,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,273.2,91.06666666666666,2,0,2
34.457541,-119.631072,No,No,No,4,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.15,68.45,17.1125,0,0,0
35.858054,-119.305858,No,Yes,No,71,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,91.25,6589.6,92.8112676056338,6,4,2
38.687367,-121.34848,No,Yes,No,24,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,2431.35,101.30624999999999,4,2,2
38.32153,-120.236358,No,No,No,43,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),19.65,779.25,18.122093023255815,0,0,0
34.195685,-118.490752,No,No,No,17,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,69.0,1108.0,65.17647058823529,3,2,1
34.097863,-116.594561,Yes,Yes,No,34,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.2,2874.45,84.54264705882352,2,1,1
32.67117,-117.00232,No,No,No,10,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,43.54,0,0,0
34.581308,-118.931948,Yes,No,No,40,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,91.84,2,0,2
37.972662,-122.491452,Yes,No,No,52,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),59.85,3103.25,59.67788461538461,2,2,0
34.19225,-118.776874,No,Yes,Yes,51,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.8,4539.35,89.00686274509805,3,2,1
34.005439,-118.477507,No,No,No,13,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,100.75,1313.25,101.01923076923077,3,1,2
34.255203,-117.175654,No,No,Yes,18,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,64.8,1166.7,64.81666666666666,2,1,1
38.63153,-120.842609,No,Yes,Yes,30,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,64.5,1985.15,66.17166666666667,3,2,1
34.936,-120.594655,No,No,No,4,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.8,321.9,80.475,1,1,0
37.639029,-120.964772,No,No,No,4,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.75,226.2,56.55,3,2,1
32.578103,-117.012975,No,No,No,1,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.2,20.2,20.2,0,0,0
37.233034,-121.947427,No,Yes,Yes,38,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.6,763.1,20.08157894736842,0,0,0
37.722727,-122.02157,No,No,No,72,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.7,6185.15,85.9048611111111,2,2,0
35.634488,-120.293534,No,Yes,No,72,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),80.45,5737.6,79.6888888888889,1,1,0
34.108833,-118.229715,No,No,No,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.65,54.65,54.65,1,0,1
33.720359,-117.733655,No,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,103.2,5873.75,104.88839285714286,4,2,2
40.077028,-121.494168,Yes,No,No,15,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.65,1146.65,76.44333333333334,0,0,0
35.116307,-118.817644,No,No,No,65,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),26.5,1698.55,26.13153846153846,0,0,0
32.785165,-116.862648,No,Yes,Yes,5,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),64.4,316.9,63.379999999999995,3,3,0
37.720498,-122.443119,No,Yes,Yes,72,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.2,1798.9,24.984722222222224,0,0,0
32.67102,-117.095235,No,Yes,No,72,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,97.85,6841.3,95.01805555555556,3,1,2
32.649787,-116.2237,No,No,No,34,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.8,1734.2,51.00588235294118,1,1,0
39.597975,-122.032248,Yes,Yes,No,64,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.25,6081.4,95.021875,3,2,1
33.81859,-117.821288,No,Yes,No,65,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),20.4,1414.45,21.76076923076923,0,0,0
40.294034,-120.512622,No,No,No,54,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.2,5129.45,94.9898148148148,3,1,2
33.8681,-118.067402,No,No,No,1,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.35,20.35,20.35,0,0,0
